"BBB","GPW","GWB","WWR","YBR","YGR","YWR","YYR","YYW"
"Resting","Walking","Resting","Minimal-Movement","Walking","Resting","Walking","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Walking","Resting","Walking","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Walking","Resting","Walking","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Resting","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Resting","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Resting","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Resting","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Resting","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Resting","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Resting","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Resting","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Resting","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Resting","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Resting","Resting","Minimal-Movement","Minimal-Movement","Resting","Resting","Resting","Resting"
"Resting","Resting","Resting","Minimal-Movement","Minimal-Movement","Resting","Resting","Resting","Resting"
"Resting","Resting","Resting","Minimal-Movement","Minimal-Movement","Resting","Resting","Resting","Resting"
